input,target,prediction,target_length,levenshtein
[NH]C1=C(N)CNN=C1C,CC1=NNC=C(N)C1=N,N=C1NN=CNC=C1C2,16,9
OC1=C([NH])C(=NNC1)C,CC1=NNC=C(O)C1=N,NC1=C(C=N)NC(C)=C1O,16,10
Cc1n[nH]nc1C(=N)N,CC1=NNN=C1C(N)=N,NC1=NC(N)=CNC1=N,16,8
Cc1cc(on1)C(=N)N,CC1=NOC(=C1)C(N)=N,NC1=C(C(=N)C(N)=C(N)O1,18,10
CC1=NO[C@@H](N1C=O)[NH],CC1=NOC(=N)N1C=O,N=C1N=C(O)N=CC1CO,16,10
Cc1nc(on1)C(=N)N,CC1=NOC(=N1)C(N)=N,NC1=NC(C)=NC(N)=N1,18,7
C=C1ON=C(C1=O)C.N,CC1=NOC(C[NH3+])=C1[O-],NC1=C(C[NH3+])C([O-])=C1[O,23,11
NCc1c(O)onc1C,CC1=NOC([O-])=C1C[NH3+],NC1=C(C(C)OC1)=NC2,23,14
[N][N][C]1C(=NOC1=O)C,CC1=NOC2=C1N=NO2,N=C1ON=C2C1C(O2)=N2,16,11
Cc1nocc1C(=N)N,CC1=NOC=C1C(N)=N,NC1=CNC(=N1)C(C=N)C=C1,16,11
Cc1nonc1C(=N)N,CC1=NON=C1C(N)=N,NC1=NC(N=N1)C(N)=CN1)C=N,16,11
C[C@H]1C[C](C(=O)N1)[N][N],CC1CC2=C(N1)ON=N2,CC1C2C1=NC(N)N=C2,17,6
C[C@H]1C[C](C(=O)O1)[N][N],CC1CC2=C(ON=N2)O1,CC1C2C1(C1)ON=N2,17,8
C[C@H]1CC2=NO[C@@H](N12)[NH],CC1CC2=NOC(=N)N12,N=C1NC2=C(CC2)O1,17,10
[NH][C@H]1ON=C2N1C[C@@H]2C,CC1CN2C1=NOC2=N,N=C1NC2=CC(C2)O1,15,11
C[C@H]1CNC(=O)[C]1[N][N],CC1CNC2=C1N=NO2,CC1C2C1=NC(N1)N=O,15,8
C[C@H]1COC(=O)[C]1[N][N],CC1COC2=C1N=NO2,CC1C2C1OC1=N2,15,5
C[C@@H]1O[C](C(=O)O1)[N][N],CC1OC2=C(O1)N=NO2,NC12C(C1[NH3+])C([O-])=O,17,18
C[C@H]1OCC(=O)[C]1[N][N],CC1OCC2=C1N=NO2,CC1C2C1OC1=N2,15,6
C[C@H]1OC[C](C1=O)[N][N],CC1OCC2=C1ON=N2,CC1C2C1OC1=N2,15,5
CC[C@H](c1cnn[nH]1)N,CCC([NH3+])C1=CN=N[N-]1,CC1C(N1)C=NNC2,23,14
CC[C@H](c1ncn[nH]1)N,CCC([NH3+])C1=NC=N[N-]1,CC1C(N1)C=NNC2,23,14
CC[C@H](c1nnn[nH]1)N,CCC([NH3+])C1=N[N-]N=N1,CC1N=C(N)N=C1N,23,16
CC[C@@H]1C=C([NH])NN=C1,CCC1=CC(=N)NN=C1,CC1=CNC(=N)C=CN1,16,5
[O][C][CH]C(=O)CC.N#N,CCC1=CC(=O)N=NO1,CC1=C(OC=N)N=C1C#N,16,10
CCC1CNNNC1[NH],CCC1=CN=NNC1=N,N=C1NN=CNC=C1CC1C=N,14,9
CC[C](C=O)[C][O].N#N,CCC1=CON=NC1=O,CC1=C(OC=NC1)C#N,14,7
CC[C@@H]1NN=CC(=N1)[NH],CCC1=NC(=N)C=NN1,CN1N=CC(=N)N=C1C,16,8
CCC1=N[C@@H](N=NN1)[NH],CCC1=NC(=N)N=NN1,NC1=NC(=N)N=CNC1=N,16,6
[NH][C][N]C(=O)CC.N#N,CCC1=NC(=N)N=NO1,NC1=C(N=NC=N)N=C1O,16,9
CCC1CNNC(N1)[NH],CCC1=NC(=N)NN=C1,NC1=CNC(=N)NC=C1C,16,5
CCC(=O)N=C=O.N#N,CCC1=NC(=O)N=NO1,NC(=[NH2+])CC([O-])=O)C#NC(C#N)=O,16,24
CCC1=NN([C@@H](O1)[NH])C,CCC1=NN(C)C(=N)O1,CC1C(N)C(=N)N1C,17,7
CCC1CNC(NN1)[NH],CCC1=NNC(=N)N=C1,NC1=CNC(=N)NC=C1C,16,5
CCC1=NNCN=C1[NH],CCC1=NNC=NC1=N,N=C1NN=CNC=C1C=C,14,8
CN1[C@@H]([NH])ON=C1CC,CCC1=NOC(=N)N1C,CCC1=NC(=N)NC(=C)O1,15,7
CCCC1=NO[C@H](O1)[NH],CCCC1=NOC(=N)O1,CC1CN1C(=N)OC=C1C,15,8
CCCN1C=NO[C@@H]1[NH],CCCN1C=NOC1=N,CN1C=CNC1=N,13,4
CCCN1[C@@H]([NH])OC=N1,CCCN1N=COC1=N,CCC1=NC(=N)NC(=C)O1,13,12
CCCN1[C@@H]([NH])NN=N1,CCCN1N=NNC1=N,CN1N=CNC(=N)N=C1,13,9
CCCN1[C@@H]([NH])ON=N1,CCCN1N=NOC1=N,NC1=CNC(=N)N1C=O,13,9
CCN1[C@@H]([NH])NN=C1O,CCN1C(=N)NN=C1O,NC1=CNC(=N)N1C=O,15,7
CCN1[C@H]([NH])ON=C1C,CCN1C(=N)ON=C1C,CN1C=C(N)OC1=N,15,8
CCN1[C@@H]([NH])ON=C1N,CCN1C(=N)ON=C1N,NC1=CNC(=N)N1C=O,15,8
CCN1[C@H]([NH])ON=C1O,CCN1C(=N)ON=C1O,N=C1NC(=N)OC=C1C,15,6
CCN1CN=C(C=N1)[NH],CCN1C=NC(=N)C=N1,NC1=CNC=C(N)C=CN1,16,7
CCN1C=N[C@@H](N=N1)[NH],CCN1C=NC(=N)N=N1,NC1=NC(=N)N=CNC1=N,16,7
CCN1N=C(O[C@@H]1[NH])C,CCN1N=C(C)OC1=N,CCC1=NC(=N)NC(=C)O1,15,11
CCN1[C@@H]([NH])OC(=N1)N,CCN1N=C(N)OC1=N,CN1N=C(N)N=C1C(=N)O,15,7
CCN1[C@@H]([NH])NC(=N1)O,CCN1N=C(O)NC1=N,CN1N=C(N)N=C1C(=N)O,15,7
CCN1[C@@H]([NH])OC(=N1)O,CCN1N=C(O)OC1=N,NC1=C(N)OC(=N)O1,15,8
CCN1NCCNC1[NH],CCN1N=CC=NC1=N,N=C1NN=CNC=C1CC1C=N,14,9
CCN1N=N[C@H](N=N1)[NH],CCN1N=NC(=N)N=N1,NC1=NNC(=N)N=C1=N,16,7
CCN1N=NN([C@@H]1[NH])C,CCN1N=NN(C)C1=N,CN1N=CNC(=N)N1C,15,8
CC[N][C][CH]C=O.N#N,CCN=C1C=CON=N1,CN=C1N=COC=N1C#C,14,6
CC[N]C1=NCNN=C1,CCN=C1C=NNC=N1,N=C1NN=CN=CC2C1CN12,14,12
CC[N][C][N]C=O.N#N,CCN=C1N=CON=N1,N=C1N=CN=CO1,14,5
CC[N]C1NCCNN1,CCN=C1NN=CC=N1,N=C1NN=CNC=C1C2,14,6
CCNC1=NO[C@H](N1)[NH],CCNC1=NOC(=N)N1,NC1=CNC(=N)N1C=O,15,7
CCNC1=NO[C@H](O1)[NH],CCNC1=NOC(=N)O1,N=C1NC(=N)OC=C1C,15,9
CCOC1=NN[C@@H](N1)[NH],CCOC1=NNC(=N)N1,NC1=CNC(=N)N1C=O,15,7
CCOC1=NO[C@H](O1)[NH],CCOC1=NOC(=N)O1,N=C1OC(=N)O1CCC=O,15,10
[N][N][C](C(=O)N)N(C)C,CN(C)C1=C(N)ON=N1,CC1=NC(N)C(=N)O1,17,9
[NH][C@@H]1ON=C(N1)N(C)C,CN(C)C1=NOC(=N)N1,CN1N=C(N)N=C1C(=N)O,17,11
[NH][C@H]1ON=C(O1)N(C)C,CN(C)C1=NOC(=N)O1,NC1=C(N)OC(=N)O1,17,7
CN1[C@H]([NH])NN=C1C#N,CN1C(=N)NN=C1C#N,N=C1NN=C(N1)C#N,16,9
CN1[C@H]([NH])NN=C1C=O,CN1C(=N)NN=C1C=O,N=C1N=C(N1)C=NC(O)=C1,16,14
[NH][C@@H]1N[N]N=C(N1C)[NH],CN1C(=N)NN=NC1=N,NC1=NNC(=N)N=C1,16,8
CN1[C@H]([NH])ON=C1C#C,CN1C(=N)ON=C1C#C,N=C1NC(=N1)C#C,16,9
CN1[C@H]([NH])ON=C1C#N,CN1C(=N)ON=C1C#N,N=C1NN=C(O1)C#N,16,9
CN1[C@H]([NH])ON=C1C=O,CN1C(=N)ON=C1C=O,N=C1N=C(O)N=C1CO,16,8
NCC1=NO[C@@H](N1C)[NH],CN1C(=N)ON=C1CN,NC1=CNC(=N)N1C=O,15,10
CN1[C@H]([NH])ON=C1CO,CN1C(=N)ON=C1CO,N=C1NC(=N)OC=C1C,15,6
[NH][C@@H]1O[N]N=C(N1C)[NH],CN1C(=N)ON=NC1=N,N=C1NN=C(C)N1C=N,16,11
CN1NCC(C(C1)N)[NH],CN1C=C(N)C(=N)C=N1,CN1N=C(C)N=C(N)C1=N,18,7
Cn1cc(nn1)C(=N)N,CN1C=C(N=N1)C(N)=N,NC1=NC(N1)C(=N)C(N)=N1,18,10
CN1NCC(C(C1)O)[NH],CN1C=C(O)C(=N)C=N1,CN1N=C(C)C(=N)O1C,18,6
NCc1nn(cc1O)C,CN1C=C([O-])C(C[NH3+])=N1,NC1=C(NC=N1)C(C=N)C1)C=N,25,15
[N][N]C1=C[CH]N(C1=O)C,CN1C=CC2=C1ON=N2,N=C1N=C2C=C(C=C1)O2,16,12
CN1CN=C(C(=N1)C)[NH],CN1C=NC(=N)C(C)=N1,NC1=CNC(=N)C(C)=N1,18,4
CN1CN=C(C(=N1)N)[NH],CN1C=NC(=N)C(N)=N1,NC1=NC(N)=C(N)N=C1,18,7
Cn1cnc(n1)C(=N)N,CN1C=NC(=N1)C(N)=N,NC1=NC(N1)C(=N)C(N)=N1,18,9
CN1C=N[C](C1=O)[N][N],CN1C=NC2=C1ON=N2,N=C1NC2=C1N=C2ON=N2,16,7
CN1C=NN([C@H]1[NH])C=O,CN1C=NN(C=O)C1=N,N=C1N=C(N1)C=NC(O)=C1,16,13
CN1C[C](C(=O)C1)[N][N],CN1CC2=C(C1)N=NO2,CC12CC1=NC2=NO1,17,9
CN1CC[C](C1=O)[N][N],CN1CCC2=C1ON=N2,CC12CN=C1ON=N2,15,4
CC1=NN(C(=CC1)[NH])C,CN1N=C(C)C=CC1=N,CC1=NC(C)=C(N)C=CN1,16,10
CC1CNC(N(N1)C)[NH],CN1N=C(C)C=NC1=N,CN1N=C(C)N=C(N)C1=N,16,4
NCC1=NN([C@H](O1)[NH])C,CN1N=C(CN)OC1=N,NC1=C(N)NC(=N)O1,15,9
CN1[C@@H]([NH])OC(=N1)CO,CN1N=C(CO)OC1=N,NC1=C(N)OC(=N)O1,15,9
CN1N=C(N)N=C[C@H]1[NH],CN1N=C(N)N=CC1=N,N=C1NN=C(C)=NC1,16,9
OC1=NN(C(=CC1)[NH])C,CN1N=C(O)C=CC1=N,NC1=C(C=N)NC(C)=C1O,16,12
CN1N=C(N([C@@H]1[NH])C)O,CN1N=C(O)N(C)C1=N,CN1N=C(N)N=C1C(=N)O,17,6
CN1[C@@H]([NH])OC(=N1)C#C,CN1N=C(OC1=N)C#C,NC1=C(N1)C(=N)C#C,16,7
CN1[C@@H]([NH])OC(=N1)C#N,CN1N=C(OC1=N)C#N,NC1=NC(=N)NC(O1)C#N,16,11
CN1[C@H]([NH])OC(=N1)C=O,CN1N=C(OC1=N)C=O,NC1=C(O)N=C(=N)O1,16,10
CN1NC(C(=O)N1)[N][N],CN1N=C2ON=NC2=N1,NC1=NC2=C(N1)N=NO2,16,12
[NH]C1=N[C@H](N(N=C1)C)C,CN1N=CC(=N)N=C1C,CC1=NC(=N)NC(C)=N1,16,9
[NH]C1=N[C@H](N(N=C1)C)O,CN1N=CC(=N)N=C1O,NC1=C(N)N=C(=N)N1,16,10
Cn1nc(cn1)C(=N)N,CN1N=CC(=N1)C(N)=N,NC1=NC(N1)C(=N)C(N)=N1,18,9
C[C@H]1C=NN(C(=C1)[NH])C,CN1N=CC(C)=CC1=N,CC1=C(N)C=CNC(=N)N1,16,10
CC1CNN(C(N1)[NH])C,CN1N=CC(C)=NC1=N,CN1N=C(C)N=C(N)C1=N,16,5
CN1N=C[C@@H](C=C1[NH])N,CN1N=CC(N)=CC1=N,CN1N=CC(=N)N=C1C,16,5
CN1N=CC(=O)C1=C.N,CN1N=CC([O-])=C1C[NH3+],CN1C=C(N)N=CC1=O,23,14
CN1N=C[C@H](C=C1[NH])O,CN1N=CC(O)=CC1=N,N=C1N=C(C=N1)C=CO,16,12
CN1N=C[C](C1=O)[N][N],CN1N=CC2=C1ON=N2,N=C1NC2=C1N=C2ON=N2,16,8
CC1=C([NH])N(N=CC1)C,CN1N=CC=C(C)C1=N,CC1=NC(C)=C(N)C=CN1,16,9
[NH]C1=C(N)CC=NN1C,CN1N=CC=C(N)C1=N,N=C1NN=CNC=C1C2,16,11
OC1=C([NH])N(N=CC1)C,CN1N=CC=C(O)C1=N,NC1=C(C=N)NC(C)=C1O,16,11
CN1[C@@H]([NH])N(C=N1)C=O,CN1N=CN(C=O)C1=N,NC1=C(N)N=C(=N)N1,16,12
[NH][C@H]1N=NN(C(=N1)C)C,CN1N=NC(=N)N=C1C,NC1=NC(=N)N=C(C)N1,16,7
CN1[N]N=C(N[C@@H]1[NH])[NH],CN1N=NC(=N)NC1=N,NC1=NNC(=N)N=C1,16,7
Cn1nnc(n1)C(=N)N,CN1N=NC(=N1)C(N)=N,NC1=NC(N1)C(=N)NN=N1,18,8
CC1NNN(C(C1)[NH])C,CN1N=NC(C)=CC1=N,CN1N=C(C)N=C(N)C1=N,16,5
NCc1nnn(c1O)C,CN1N=NC(C[NH3+])=C1[O-],NC1=NC(C)=NC(N)=N1,23,14
CN1NNC(CC1[NH])N,CN1N=NC(N)=CC1=N,NC1=NNC(=N)NC1=C,16,8
CN1NNC(C1=O)[N][N],CN1N=NC2=C1ON=N2,NC1=NC2=NC1N=NO2,16,6
CC1CNNN(C1[NH])C,CN1N=NC=C(C)C1=N,NC1=CNC(=N)NC=C1C,16,11
[NH]C1C(N)CNNN1C,CN1N=NC=C(N)C1=N,NC1=NNC(=N)NC1=C,16,8
CN1[C@@H]([NH])N(N=N1)C=O,CN1N=NN(C=O)C1=N,NC1=NC(=N)N=C(O)N1,16,11
C[N][C][CH]C(=O)N.N#N,CN=C1C=C(N)ON=N1,NC1=C(N=NC=N)N=C1O,16,9
CN=c1cc[nH]nc1N,CN=C1C=CNN=C1N,N=C1N=CNC=C2C1C=C2,14,9
C[N]C1=NCN(N=C1)C,CN=C1C=NN(C)C=N1,NC1=CNC2=CN=C1N,16,10
C[N]C1=N[C@H](NN=C1)C,CN=C1C=NNC(C)=N1,CN1N=CC=C(N)N=C1,16,8
C[N]C1=N[C@@H](NN=C1)O,CN=C1C=NNC(O)=N1,N=C1NC=NC(C=O)=N1,16,5
C[N]C1CNNCC1N,CN=C1C=NNC=C1N,N=C1NN=CNC=C1C2,14,6
CN1NCCNC1[N]C,CN=C1N=CC=NN1C,N=C1NN=CNC=C1C2,14,6
C[N]C1=NCNN=C1C,CN=C1N=CNN=C1C,N=C1NN=CN=CC2C1CN12,14,9
C[N]C1=NCNN=C1N,CN=C1N=CNN=C1N,N=C1NN=CN=CN1C2,14,6
CN=c1nn[nH]c(n1)N,CN=C1N=NNC(N)=N1,NC1=NNC(=N)N=C1,16,6
CN=c1nn[nH]c(n1)O,CN=C1N=NNC(O)=N1,NC1=NC(=N)N=C(O1)N,16,10
C[N][C][N]C(=O)C.N#N,CN=C1N=NOC(C)=N1,N=C1N=C(CC=O1)C#N,16,9
C[N][C][N]C(=O)N.N#N,CN=C1N=NOC(N)=N1,N=C1N=NC(N=NC=O1)C#N,16,10
C[N][C][N]C(=O)O.N#N,CN=C1N=NOC(O)=N1,N=C1N=C(ON=N=N1)C#N,16,10
C[N]C1=N[N]N[C@H](N1)[NH],CN=C1NC(=N)NN=N1,N=C1NN=NC2=C1N,16,8
C[N]C1=N[N]O[C@H](N1)[NH],CN=C1NC(=N)ON=N1,N=C1NC2=NC(N1)N=NO,16,8
C[N]C1=CCC(=NN1)C,CN=C1NN=C(C)C=C1,CN1C=CC=C2N=C1N2,16,10
C[N]C1NCC(NN1)C,CN=C1NN=C(C)C=N1,NC1N=CNC2=C1NC(C)C2,16,11
C[N]C1NNCC(N1)C,CN=C1NN=CC(C)=N1,NC1N=CNC2=C1NC(C)C2,16,10
C[N]C1=C[C@@H](C=NN1)O,CN=C1NN=CC(O)=C1,CC1=C(N)N=CNC1=O,16,10
C[N]C1=C(N)CC=NN1,CN=C1NN=CC=C1N,NC1=CNC2=CN=C1N,14,6
C[N]C1=C(O)CC=NN1,CN=C1NN=CC=C1O,NC1=CNC2=C(C1)O2,14,9
CN=c1c(N)cnn[nH]1,CN=C1NN=NC=C1N,NC1=NC(=N)N=CN1C2,14,10
[N][N][C](C(=O)NC)C#C,CNC1=C(N=NO1)C#C,NC1=C(CC#N)C(=N)O1,16,12
[N][N][C](C(=O)NC)C#N,CNC1=C(N=NO1)C#N,NC1=C(NC=NC1)C#N,16,3
CNC(=O)[C]([N][N])NC,CNC1=C(NC)N=NO1,CC1=NC(N)C(=N)N=NO1,15,6
CN[C](C(=O)OC)[N][N],CNC1=C(OC)ON=N1,CC1=C(NC=[NH2+])N=C([O-])O1,15,18
CN[C@H]1NN=CC(=C1)[NH],CNC1=CC(=N)C=NN1,CN1N=CC=C(N)N=C1C,16,9
[NH][C][CH]C(=O)NC.N#N,CNC1=CC(=N)N=NO1,NC1=C(NC=N)N=C1C#N,16,9
CN[C@@H]1C=C([NH])NN=C1,CNC1=CC(=N)NN=C1,CN1N=CC(=N)N=C1C,16,4
CNC1NNNC(C1)[NH],CNC1=CC(=N)NN=N1,NC1=NNC(=N)NC1=C,16,7
[O][C][CH]C(=O)NC.N#N,CNC1=CC(=O)N=NO1,N=C1N=C(OC=N1)C#N,16,12
CNC1=C([NH])NN=CC1,CNC1=CC=NNC1=N,N=C1NN=CNC=C1C2,14,9
CNC1CNNNC1[NH],CNC1=CN=NNC1=N,N=C1NNN=CN1C=CN1C,14,10
CNC1CNNCC1[NH],CNC1=CNN=CC1=N,N=C1NN=CNC=C1CC1C=N,14,8
CNC1=N[C@@H](N=NN1)[NH],CNC1=NC(=N)N=NN1,NC1=NNC(=N)N=C1=N,16,6
[NH][C][N]C(=O)NC.N#N,CNC1=NC(=N)N=NO1,NC1=NC(=N)N=NO1,16,1
CNC(=O)N=C=O.N#N,CNC1=NC(=O)N=NO1,NC(=N)NC(=O)N1C#N,16,8
CNC1=NN([C@@H](O1)[NH])C,CNC1=NN(C)C(=N)O1,CN1N=C(N)N=C1C(=N)O,17,8
CNC1=NN[C@@H](C=N1)[NH],CNC1=NNC(=N)C=N1,NC1=NC(=N)N=CNC1=N,16,7
CNC1=NNCN=C1[NH],CNC1=NNC=NC1=N,N=C1NN=CNC=C1=N,14,6
CN1[C@@H]([NH])ON=C1NC,CNC1=NOC(=N)N1C,NC1=CNC(=N)N1C=O,15,5
CNCc1c(O)cn[nH]1,C[NH2+]CC1=C([O-])C=NN1,NC1=C(CN1)C=C(O)C=N1,23,14
CNCc1oncc1O,C[NH2+]CC1=C([O-])C=NO1,N=C1NC=C(O1)C=CO1,23,12
C=C1ON=NC1=O.CN,C[NH2+]CC1=C([O-])N=NO1,NC1=NC(C=O)N=C1[NH2+],23,19
CNCc1cnoc1O,C[NH2+]CC1=C([O-])ON=C1,N=C1NC=C(O1)C=CO1,23,14
CNCc1nnoc1O,C[NH2+]CC1=C([O-])ON=N1,N=C1NC=C(O1)C=NO2,23,15
CNCc1n[nH]cc1O,C[NH2+]CC1=NNC=C1[O-],N=C1NC=C(CC=N1)C=CO1,21,14
CNCC1=NO[C@@H](O1)[NH],CNCC1=NOC(=N)O1,NC1=C(N)OC(=N)O1,15,5
CNCc1cc(=O)o[nH]1,C[NH2+]CC1=NOC([O-])=C1,N=C1NC=C(O1)C=CO1,23,15
CNCc1nocc1O,C[NH2+]CC1=NOC=C1[O-],N=C1NC=C(O1)C=CO1,21,15
CNCc1nonc1O,C[NH2+]CC1=NON=C1[O-],N=C1NC=C(O1)C=NO2,21,16
COC(=O)[C](C=O)[N][N],COC1=C(C=O)N=NO1,NC1=C(OC=[NH2+])C([O-])=O1,16,17
COc1nn[nH]c1CN,COC1=C(C[NH3+])N=N[N-]1,N=C1NN=C(C=N1)C=CO1,23,15
COC(=O)[C](C#C)[N][N],COC1=C(N=NO1)C#C,NC1=C(CC#N)OC1=O,16,11
COC(=O)[C](C#N)[N][N],COC1=C(N=NO1)C#N,NC1=C(OC#N)C(=N)O1,16,12
CO[C@@H]1NN=CC(=C1)[NH],COC1=CC(=N)C=NN1,CN1C=C(N)N=CC1=O,16,10
[NH][C][CH]C(=O)OC.N#N,COC1=CC(=N)N=NO1,NC1=C(COC=N)N=NO1,16,5
CO[C@@H]1C=C([NH])NN=C1,COC1=CC(=N)NN=C1,CN1C=C(N)N=CC1=O,16,9
[O][C][CH]C(=O)OC.N#N,COC1=CC(=O)N=NO1,[NH3+]CC1=C(O)C([O-])=O,16,16
COC1=C([NH])NN=CC1,COC1=CC=NNC1=N,N=C1N=C(C=N1)C=CO,14,9
COC1CNNNC1[NH],COC1=CN=NNC1=N,N=C1NN=CN1CC=CN1C,14,10
COC1CNNCC1[NH],COC1=CNN=CC1=N,N=C1NN=CC=C1CC=CO,14,10
CO[C@@H]1NN=CC(=N1)[NH],COC1=NC(=N)C=NN1,N=C1NC=NC(C=O)=N1,16,8
COC1=N[C@H](N=NN1)[NH],COC1=NC(=N)N=NN1,N=C1N=NNC(=N)N1C=O,16,8
[NH][C][N]C(=O)OC.N#N,COC1=NC(=N)N=NO1,N=C1N=C(O)N=NO1,16,6
COC1CNNC(N1)[NH],COC1=NC(=N)NN=C1,NC1=NNC(=N)C(C)=N1CO,16,10
COC(=O)N=C=O.N#N,COC1=NC(=O)N=NO1,NC(=[NH2+])NC([O-])=O)C(=O,16,19
NCc1nnc([nH]1)OC,COC1=NC(C[NH3+])=N[N-]1,NC1=C(NC=N1)C(N)C=N1,23,15
COC1=NN([C@@H](N1)[NH])C,COC1=NN(C)C(=N)N1,CN1N=C(N)N=C1C(=N)O,17,10
COC1=NN([C@H](O1)[NH])C,COC1=NN(C)C(=N)O1,NC1=C(N)OC(=N)O1,17,6
COC1=NNC(=CC1)[NH],COC1=NNC(=N)C=C1,N=C1N=C(C=N1)C=CO,16,7
CN1[C@@H]([NH])NN=C1OC,COC1=NNC(=N)N1C,NC1=CNC(=N)N1C=O,15,5
COC1=NNCN=C1[NH],COC1=NNC=NC1=N,N=C1NN=CN=C1C=O,14,8
CN1[C@@H]([NH])ON=C1OC,COC1=NOC(=N)N1C,NC1=C(N)OC(=N)O1,15,7
COCC1=NO[C@@H](O1)[NH],COCC1=NOC(=N)O1,N=C1OC(OC=N1)C(O)C=O,15,13
[N][N][CH]C(=O)NCC#N,N#CCNC1=CN=NO1,N=C1N=C(NC=O1)C#N,14,11
[N][N][CH]C(=O)OCC#N,N#CCOC1=CN=NO1,N=C1ON=C(C=N1)C#N,14,11
O=CN1N=CCC=C1[NH],N=C1C=CC=NN1C=O,N=C1N=CN=C(C=O1)C=C1,15,9
O=CN1CC=C(C=N1)[NH],N=C1C=CN(C=O)N=C1,N=C1N=C(C=N1)C=C(O)C=C1,17,9
[NH]C1CCNNN1C=O,N=C1C=CN=NN1C=O,N=C1NN=CN1C=CC1C=O,15,6
C#CC1=NNCC=C1[NH],N=C1C=CNN=C1C#C,N=C1N=CN=CN1CC#C,15,4
N#CC1=NNCC=C1[NH],N=C1C=CNN=C1C#N,N=C1N=CNN=C1CC#C,15,3
O=CC1=NNCC=C1[NH],N=C1C=CNN=C1C=O,N=C1N=CN=C(C=O1)C=C1,15,9
[NH]C1=NCN(N=C1)C=O,N=C1C=NN(C=O)C=N1,N=C1N=C(NC=N1)C=O,17,8
[NH]C1=N[C@@H](NN=C1)C#C,N=C1C=NNC(=N1)C#C,N=C1N=C(N1)C#C,17,4
C#CC1CNNCC1[NH],N=C1C=NNC=C1C#C,N=C1NN=CN1CCC1C#C,15,5
[NH]c1c[nH]oc1=O.N#N,N=C1C=NON=NC1=O,N=C1N=NON=C1=O,15,2
[N][N][C]1C[C](NC1=O)[NH],N=C1CC2=C(N1)ON=N2,N=C1N2C3C1C2=N23N1,18,11
[N][N][C]1C[C](OC1=O)[NH],N=C1CC2=C(ON=N2)O1,N=C1OC2=C1N=N2,18,6
O=CN1C=N[C@H](N=N1)[NH],N=C1N=CN(C=O)N=N1,N=C1N=NNC(=O)=N1,17,4
C#CC1=NNCN=C1[NH],N=C1N=CNN=C1C#C,N=C1N=CNN=C1CC#C,15,1
[NH]c1ocnc1[NH].N#N,N=C1N=CON=NC1=N,N=C1N=NNOC=N1,15,6
O=C1O[CH]N=C1[NH].N#N,N=C1N=CON=NC1=O,N=C1N=NOC=N1C#N,15,6
O=CN1N=N[C@H](N=N1)[NH],N=C1N=NN(C=O)N=N1,N=C1N=NNC(=N)N=N1,17,3
[NH][C@H]1N=C(NN=N1)C#C,N=C1N=NNC(=N1)C#C,N=C1N=NNC(=N1)C#C,17,0
[NH][C][N]C(=O)C#C.N#N,N=C1N=NOC(=N1)C#C,N=C1N=C(C#N)N=C1O,17,9
[NH][C][N]C(=O)C#N.N#N,N=C1N=NOC(=N1)C#N,N=C1N=NC(C#N)N=NO1,17,8
[NH][C][N]C(=O)C=O.N#N,N=C1N=NOC(C=O)=N1,N=C1N=C(O)N=NO1,17,6
[NH][C][C](C#N)C=O.N#N,N=C1N=NOC=C1C#N,N=C1N=C(C#N)N=C1O,15,9
[NH][C][C](C=O)C=O.N#N,N=C1N=NOC=C1C=O,N=C1N=C(C=O)N=NO1,15,7
O=C1C=CO[C]1[NH].N#N,N=C1N=NOC=CC1=O,N=C1ON=C=NO1C#C,15,8
[O]N=CC(=O)C(=N)N=[N],N=C1N=NON=CC1=O,NC1=NC(=N)N=C(O)O1,15,9
[NH]c1onnc1[NH].N#N,N=C1N=NON=NC1=N,N=C1N=NNON=N1,15,4
[NH][C@@H]1ON=C(N1)C1CC1,N=C1NC(=NO1)C1CC1,N=C1NC=C(O1)C1C1C1,17,4
[NH][C@@H]1ON=C(N1)[C@H]1CN1,N=C1NC(=NO1)C1CN1,N=C1NN=C(C1)C(=N)O1,17,9
[NH][C@H]1ON=C(N1)[C@H]1CO1,N=C1NC(=NO1)C1CO1,N=C1NC(=N1)OC1C1C=O,17,6
[NH][C@H]1NC(=NO1)CC#C,N=C1NC(CC#C)=NO1,N=C1NC(=N1)C#C,16,8
[NH][C@@H]1NC(=NO1)CC#N,N=C1NC(CC#N)=NO1,N=C1NN=C(O1)C#N,16,9
[NH][C@H]1NC(=NO1)CC=O,N=C1NC(CC=O)=NO1,N=C1N=C(O)N=C1CO,16,9
[NH][C@H]1NC(=NO1)NC=O,N=C1NC(NC=O)=NO1,N=C1N=NOC(=N)N1C=O,16,10
[NH][C@@H]1NC(=NO1)OC=O,N=C1NC(OC=O)=NO1,N=C1N=C(O)OC(=N)O1,16,6
[NH][C@@H]1Nc2c(N1)cno2,N=C1NC2=C(N1)C=NO2,N=C1NN=C2C(N1)C=N2,18,4
[NH][C@H]1NC2=N[N]N[C@H]2N1,N=C1NC2=C(N1)N=NN2,N=C1NN=NC2=C1,18,10
[N][N][C]1N[C](NC1=O)[NH],N=C1NC2=C(N1)N=NO2,N=C1N2C1N=N2,18,6
[NH][C@@H]1Nc2c(O1)[nH]nc2,N=C1NC2=C(NN=C2)O1,N=C1N=C2NC(C=N1)C2,18,8
[NH][C@@H]1Oc2c(N1)[nH]nc2,N=C1NC2=C(O1)C=NN2,N=C1N=C2NC(C=N1)C2,18,8
